raceId;year;circuitId;name;date
610;1973;6;Monaco Grand Prix;03/06/1973
611;1973;47;Swedish Grand Prix;17/06/1973
612;1973;34;French Grand Prix;01/07/1973
613;1973;9;British Grand Prix;14/07/1973
614;1973;39;Dutch Grand Prix;29/07/1973
615;1973;20;German Grand Prix;05/08/1973
616;1973;70;Austrian Grand Prix;19/08/1973
617;1973;14;Italian Grand Prix;09/09/1973
618;1973;48;Canadian Grand Prix;23/09/1973
619;1973;46;United States Grand Prix;07/10/1973
620;1972;25;Argentine Grand Prix;23/01/1972
621;1972;30;South African Grand Prix;04/03/1972
622;1972;45;Spanish Grand Prix;01/05/1972
623;1972;6;Monaco Grand Prix;14/05/1972
624;1972;50;Belgian Grand Prix;04/06/1972
625;1972;51;French Grand Prix;02/07/1972
626;1972;38;British Grand Prix;15/07/1972
627;1972;20;German Grand Prix;30/07/1972
628;1972;70;Austrian Grand Prix;13/08/1972
629;1972;14;Italian Grand Prix;10/09/1972
630;1972;48;Canadian Grand Prix;24/09/1972
631;1972;46;United States Grand Prix;08/10/1972
632;1971;30;South African Grand Prix;06/03/1971
633;1971;49;Spanish Grand Prix;18/04/1971
634;1971;6;Monaco Grand Prix;23/05/1971
635;1971;39;Dutch Grand Prix;20/06/1971
636;1971;34;French Grand Prix;04/07/1971
637;1971;9;British Grand Prix;17/07/1971
638;1971;20;German Grand Prix;01/08/1971
639;1971;70;Austrian Grand Prix;15/08/1971
640;1971;14;Italian Grand Prix;05/09/1971
641;1971;48;Canadian Grand Prix;19/09/1971
642;1971;46;United States Grand Prix;03/10/1971
643;1970;30;South African Grand Prix;07/03/1970
644;1970;45;Spanish Grand Prix;19/04/1970
645;1970;6;Monaco Grand Prix;10/05/1970
646;1970;13;Belgian Grand Prix;07/06/1970
647;1970;39;Dutch Grand Prix;21/06/1970
648;1970;51;French Grand Prix;05/07/1970
649;1970;38;British Grand Prix;18/07/1970
650;1970;10;German Grand Prix;02/08/1970
651;1970;70;Austrian Grand Prix;16/08/1970
652;1970;14;Italian Grand Prix;06/09/1970
653;1970;52;Canadian Grand Prix;20/09/1970
654;1970;46;United States Grand Prix;04/10/1970
655;1970;32;Mexican Grand Prix;25/10/1970
656;1969;30;South African Grand Prix;01/03/1969
657;1969;49;Spanish Grand Prix;04/05/1969
658;1969;6;Monaco Grand Prix;18/05/1969
659;1969;39;Dutch Grand Prix;21/06/1969
660;1969;51;French Grand Prix;06/07/1969
661;1969;9;British Grand Prix;19/07/1969
662;1969;20;German Grand Prix;03/08/1969
663;1969;14;Italian Grand Prix;07/09/1969
664;1969;48;Canadian Grand Prix;20/09/1969
665;1969;46;United States Grand Prix;05/10/1969
666;1969;32;Mexican Grand Prix;19/10/1969
667;1968;30;South African Grand Prix;01/01/1968
668;1968;45;Spanish Grand Prix;12/05/1968
669;1968;6;Monaco Grand Prix;26/05/1968
670;1968;13;Belgian Grand Prix;09/06/1968
671;1968;39;Dutch Grand Prix;23/06/1968
672;1968;53;French Grand Prix;07/07/1968
673;1968;38;British Grand Prix;20/07/1968
674;1968;20;German Grand Prix;04/08/1968
675;1968;14;Italian Grand Prix;08/09/1968
676;1968;52;Canadian Grand Prix;22/09/1968
677;1968;46;United States Grand Prix;06/10/1968
678;1968;32;Mexican Grand Prix;03/11/1968
679;1967;30;South African Grand Prix;02/01/1967
680;1967;6;Monaco Grand Prix;07/05/1967
681;1967;39;Dutch Grand Prix;04/06/1967
682;1967;13;Belgian Grand Prix;18/06/1967
683;1967;54;French Grand Prix;02/07/1967
684;1967;9;British Grand Prix;15/07/1967
685;1967;20;German Grand Prix;06/08/1967
686;1967;48;Canadian Grand Prix;27/08/1967
687;1967;14;Italian Grand Prix;10/09/1967
688;1967;46;United States Grand Prix;01/10/1967
689;1967;32;Mexican Grand Prix;22/10/1967
690;1966;6;Monaco Grand Prix;22/05/1966
691;1966;13;Belgian Grand Prix;12/06/1966
692;1966;55;French Grand Prix;03/07/1966
693;1966;38;British Grand Prix;16/07/1966
694;1966;39;Dutch Grand Prix;24/07/1966
695;1966;20;German Grand Prix;07/08/1966
696;1966;14;Italian Grand Prix;04/09/1966
697;1966;46;United States Grand Prix;02/10/1966
698;1966;32;Mexican Grand Prix;23/10/1966
699;1965;56;South African Grand Prix;01/01/1965
700;1965;6;Monaco Grand Prix;30/05/1965
701;1965;13;Belgian Grand Prix;13/06/1965
702;1965;51;French Grand Prix;27/06/1965
703;1965;9;British Grand Prix;10/07/1965
704;1965;39;Dutch Grand Prix;18/07/1965
705;1965;20;German Grand Prix;01/08/1965
706;1965;14;Italian Grand Prix;12/09/1965
707;1965;46;United States Grand Prix;03/10/1965
708;1965;32;Mexican Grand Prix;24/10/1965
709;1964;6;Monaco Grand Prix;10/05/1964
710;1964;39;Dutch Grand Prix;24/05/1964
711;1964;13;Belgian Grand Prix;14/06/1964
712;1964;53;French Grand Prix;28/06/1964
713;1964;38;British Grand Prix;11/07/1964
714;1964;20;German Grand Prix;02/08/1964
715;1964;57;Austrian Grand Prix;23/08/1964
716;1964;14;Italian Grand Prix;06/09/1964
717;1964;46;United States Grand Prix;04/10/1964
718;1964;32;Mexican Grand Prix;25/10/1964
719;1963;6;Monaco Grand Prix;26/05/1963
720;1963;13;Belgian Grand Prix;09/06/1963
721;1963;39;Dutch Grand Prix;23/06/1963
722;1963;55;French Grand Prix;30/06/1963
723;1963;9;British Grand Prix;20/07/1963
724;1963;20;German Grand Prix;04/08/1963
725;1963;14;Italian Grand Prix;08/09/1963
726;1963;46;United States Grand Prix;06/10/1963
727;1963;32;Mexican Grand Prix;27/10/1963
728;1963;56;South African Grand Prix;28/12/1963
729;1962;39;Dutch Grand Prix;20/05/1962
730;1962;6;Monaco Grand Prix;03/06/1962
731;1962;13;Belgian Grand Prix;17/06/1962
732;1962;53;French Grand Prix;08/07/1962
733;1962;58;British Grand Prix;21/07/1962
734;1962;20;German Grand Prix;05/08/1962
735;1962;14;Italian Grand Prix;16/09/1962
736;1962;46;United States Grand Prix;07/10/1962
737;1962;56;South African Grand Prix;29/12/1962
738;1961;6;Monaco Grand Prix;14/05/1961
739;1961;39;Dutch Grand Prix;22/05/1961
740;1961;13;Belgian Grand Prix;18/06/1961
741;1961;55;French Grand Prix;02/07/1961
742;1961;58;British Grand Prix;15/07/1961
743;1961;20;German Grand Prix;06/08/1961
744;1961;14;Italian Grand Prix;10/09/1961
745;1961;46;United States Grand Prix;08/10/1961
746;1960;25;Argentine Grand Prix;07/02/1960
747;1960;6;Monaco Grand Prix;29/05/1960
748;1960;19;Indianapolis 500;30/05/1960
749;1960;39;Dutch Grand Prix;06/06/1960
750;1960;13;Belgian Grand Prix;19/06/1960
751;1960;55;French Grand Prix;03/07/1960
752;1960;9;British Grand Prix;16/07/1960
753;1960;59;Portuguese Grand Prix;14/08/1960
754;1960;14;Italian Grand Prix;04/09/1960
755;1960;60;United States Grand Prix;20/11/1960
756;1959;6;Monaco Grand Prix;10/05/1959
757;1959;19;Indianapolis 500;30/05/1959
758;1959;39;Dutch Grand Prix;31/05/1959
759;1959;55;French Grand Prix;05/07/1959
760;1959;58;British Grand Prix;18/07/1959
761;1959;61;German Grand Prix;02/08/1959
762;1959;62;Portuguese Grand Prix;23/08/1959
763;1959;14;Italian Grand Prix;13/09/1959
764;1959;63;United States Grand Prix;12/12/1959
765;1958;25;Argentine Grand Prix;19/01/1958
766;1958;6;Monaco Grand Prix;18/05/1958
767;1958;39;Dutch Grand Prix;26/05/1958
768;1958;19;Indianapolis 500;30/05/1958
769;1958;13;Belgian Grand Prix;15/06/1958
770;1958;55;French Grand Prix;06/07/1958
771;1958;9;British Grand Prix;19/07/1958
772;1958;20;German Grand Prix;03/08/1958
773;1958;59;Portuguese Grand Prix;24/08/1958
774;1958;14;Italian Grand Prix;07/09/1958
775;1958;64;Moroccan Grand Prix;19/10/1958
776;1957;25;Argentine Grand Prix;13/01/1957
777;1957;6;Monaco Grand Prix;19/05/1957
778;1957;19;Indianapolis 500;30/05/1957
779;1957;53;French Grand Prix;07/07/1957
780;1957;58;British Grand Prix;20/07/1957
781;1957;20;German Grand Prix;04/08/1957
782;1957;65;Pescara Grand Prix;18/08/1957
783;1957;14;Italian Grand Prix;08/09/1957
784;1956;25;Argentine Grand Prix;22/01/1956
785;1956;6;Monaco Grand Prix;13/05/1956
786;1956;19;Indianapolis 500;30/05/1956
787;1956;13;Belgian Grand Prix;03/06/1956
788;1956;55;French Grand Prix;01/07/1956
789;1956;9;British Grand Prix;14/07/1956
790;1956;20;German Grand Prix;05/08/1956
791;1956;14;Italian Grand Prix;02/09/1956
792;1955;25;Argentine Grand Prix;16/01/1955
793;1955;6;Monaco Grand Prix;22/05/1955
794;1955;19;Indianapolis 500;30/05/1955
795;1955;13;Belgian Grand Prix;05/06/1955
796;1955;39;Dutch Grand Prix;19/06/1955
797;1955;58;British Grand Prix;16/07/1955
798;1955;14;Italian Grand Prix;11/09/1955
799;1954;25;Argentine Grand Prix;17/01/1954
800;1954;19;Indianapolis 500;31/05/1954
801;1954;13;Belgian Grand Prix;20/06/1954
802;1954;55;French Grand Prix;04/07/1954
803;1954;9;British Grand Prix;17/07/1954
804;1954;20;German Grand Prix;01/08/1954
805;1954;66;Swiss Grand Prix;22/08/1954
806;1954;14;Italian Grand Prix;05/09/1954
807;1954;67;Spanish Grand Prix;24/10/1954
808;1953;25;Argentine Grand Prix;18/01/1953
809;1953;19;Indianapolis 500;30/05/1953
810;1953;39;Dutch Grand Prix;07/06/1953
811;1953;13;Belgian Grand Prix;21/06/1953
812;1953;55;French Grand Prix;05/07/1953
813;1953;9;British Grand Prix;18/07/1953
814;1953;20;German Grand Prix;02/08/1953
815;1953;66;Swiss Grand Prix;23/08/1953
816;1953;14;Italian Grand Prix;13/09/1953
817;1952;66;Swiss Grand Prix;18/05/1952
818;1952;19;Indianapolis 500;30/05/1952
819;1952;13;Belgian Grand Prix;22/06/1952
820;1952;53;French Grand Prix;06/07/1952
821;1952;9;British Grand Prix;19/07/1952
822;1952;20;German Grand Prix;03/08/1952
823;1952;39;Dutch Grand Prix;17/08/1952
824;1952;14;Italian Grand Prix;07/09/1952
825;1951;66;Swiss Grand Prix;27/05/1951
